,Player,Comb,Asst,Solo,Sck
15,Bilal Nichols,51,25,20,3.0
16,Harrison Phillips,51,23,23,1.0
17,Malcolm Smith,51,19,22,0.0
18,Daniel Sorensen,51,11,38,1.0
19,Jerry Tillery,51,27,19,4.5
20,Chris Wormley,51,22,24,7.0
21,K.J. Wright,51,26,20,0.0
22,Kwon Alexander,50,11,32,3.5
23,Brian Burns,50,19,27,9.0
24,Lorenzo Carter,50,22,22,5.0
0,B.J. Hill,50,21,25,5.5
1,Xavien Howard,50,11,35,1.0
2,Von Miller,50,17,27,9.5
3,Steven Nelson,50,16,31,0.0
4,AJ Parker,50,11,36,0.0
5,Greg Rousseau,50,8,35,4.0
6,Al Woods,50,24,20,1.5
7,Eli Apple,49,11,35,0.0
8,Calais Campbell,49,20,21,1.5
9,Rashad Fenton,49,10,39,0.0
10,Shaquill Griffin,49,13,35,0.0
11,Shelby Harris,49,25,23,6.0
12,Troy Hill,49,15,28,2.0
13,Ryan Neal,49,17,28,1.0
14,Josh Norman,49,13,35,0.0
15,Larry Ogunjobi,49,20,23,7.0
16,Azeez Ojulari,49,20,28,8.0
17,Robert Quinn,49,11,32,18.5
18,Isaiah Rodgers,49,10,35,0.0
19,Zach Allen,48,18,24,4.0
20,Sean Chandler,48,21,25,0.0
21,Kenny Clark,48,21,23,4.0
22,Willie Gay Jr.,48,22,22,0.5
23,Markus Golden,48,15,29,11.0
24,Rasheem Green,48,21,19,6.5
0,Javelin Guidry,48,15,28,0.0
1,Al-Quadin Muhammad,48,16,25,6.0
2,Shy Tuttle,48,31,16,0.0
3,Marco Wilson,48,8,36,0.0
4,James Bradberry,47,10,36,0.0
5,Rashan Gary,47,20,23,9.5
6,Tashaun Gipson,47,14,32,1.0
7,Mike Hughes,47,7,40,0.0
8,Quinton Jefferson,47,30,13,4.5
9,Arthur Maulet,47,9,36,0.0
10,Jalen Mills,47,12,33,0.0
11,James Pierre,47,10,33,0.0
12,Nick Scott,47,19,26,0.0
13,M.J. Stewart,47,13,29,0.0
14,D.J. Wonnum,47,18,24,8.0
15,Christian Barmore,46,23,14,1.5
16,Derek Barnett,46,26,17,2.0
17,Mike Edwards,46,12,31,0.0
18,Foley Fatukasi,46,21,17,0.0
19,Chauncey Gardner-Johnson,46,14,31,2.0
20,Jonas Griffith,46,24,18,0.0
21,DaVon Hamilton,46,20,23,1.0
22,Casey Hayward,46,7,37,0.0
23,Jaylon Johnson,46,9,33,0.0
24,Marcus Maye,46,16,26,1.0
0,Grover Stewart,46,23,15,1.0
1,Kindle Vildor,46,13,30,1.0
2,Armon Watts,46,26,15,5.0
3,Eric Wilson,46,26,17,0.0
4,Divine Deablo,45,17,22,0.0
5,Myles Hartsfield,45,15,28,1.0
