,Player,Comb,Asst,Solo,Sck
20,Antonio Gibson,1,0,1,0.0
21,Blake Gillikin,1,0,1,0.0
22,Graham Glasgow,1,1,0,0.0
23,Mike Glennon,1,0,1,0.0
24,Mark Glowinski,1,0,1,0.0
0,Chris Godwin,1,0,1,0.0
1,Zane Gonzalez,1,0,1,0.0
2,Marquise Goodwin,1,1,0,0.0
3,Derrick Gore,1,1,0,0.0
4,Jimmy Graham,1,0,1,0.0
5,Jakeem Grant,1,0,1,0.0
6,A.J. Green,1,0,1,0.0
7,Joe Haeg,1,0,1,0.0
8,Lirim Hajrullahu,1,0,1,0.0
9,C.J. Ham,1,1,0,0.0
10,Chase Hansen,1,1,0,0.0
11,Clark Harris,1,1,0,0.0
12,Darius Harris,1,0,1,0.0
13,Nick Harris,1,0,1,0.0
14,Willie Harvey,1,0,1,0.0
15,Pressley Harvin III,1,0,1,0.0
16,Rob Havenstein,1,0,1,0.0
17,Jack Heflin,1,1,0,0.0
18,Taylor Heinicke,1,0,1,0.0
19,Daniel Helm,1,0,1,0.0
20,Justin Herbert,1,0,1,0.0
21,Frank Herron,1,0,1,0.0
22,Gavin Heslop,1,0,1,0.0
23,Brian Hill,1,1,0,0.0
24,Kylin Hill,1,0,1,0.0
0,Kendall Hinton,1,0,1,0.0
1,Sterling Hofrichter,1,0,1,0.0
2,Chris Hogan,1,0,1,0.0
3,Jordan Howard,1,0,1,0.0
4,Chuba Hubbard,1,0,1,0.0
5,Rodney Hudson,1,0,1,0.0
6,Creed Humphrey,1,0,1,0.0
7,Lil'Jordan Humphrey,1,0,1,0.0
8,Hayden Hurst,1,0,1,0.0
9,Keith Ismael,1,1,0,0.0
10,Lamar Jackson,1,0,1,0.0
11,Josh Jacobs,1,0,1,0.0
12,Jesse James,1,0,1,0.0
13,J.J. Jansen,1,1,0,0.0
14,Blake Jarwin,1,0,1,0.0
15,Van Jefferson,1,0,1,0.0
16,Jauan Jennings,1,0,1,0.0
17,Josh Johnson,1,0,1,0.0
18,Darryl Johnson,1,1,0,0.0
19,Diontae Johnson,1,0,1,0.0
20,Collin Johnson,1,1,0,0.0
21,David Johnson,1,0,1,0.0
22,D'Ernest Johnson,1,1,0,0.0
23,Josh Johnson,1,0,1,0.0
24,Juwan Johnson,1,1,0,0.0
0,Marcus Johnson,1,0,0,0.0
1,Tyler Johnson,1,0,1,0.0
2,Marvin Jones,1,0,1,0.0
3,Brevin Jordan,1,1,0,0.0
4,Lamarcus Joyner,1,0,1,0.0
5,Alvin Kamara,1,0,1,0.0
6,Travis Kelce,1,0,1,0.0
7,Bopete Keyes,1,0,1,0.0
8,Cole Kmet,1,0,1,0.0
9,Cooper Kupp,1,0,1,0.0
10,Jarvis Landry,1,0,1,0.0
11,Justin Lawler,1,1,0,0.0
12,Alex Leatherwood,1,1,0,0.0
13,Chris Lindstrom,1,0,1,0.0
14,Corey Linsley,1,0,1,0.0
15,Drew Lock,1,0,1,0.0
16,Tyler Lockett,1,0,1,0.0
17,Cornelius Lucas,1,0,1,0.0
18,Patrick Mahomes,1,0,1,0.0
19,Greg Mancz,1,0,1,0.0
20,Wes Martin,1,0,1,0.0
21,Bobby Massie,1,1,0,0.0
22,Jake Matthews,1,0,1,0.0
23,Christian McCaffrey,1,0,1,0.0
24,Colt McCoy,1,0,1,0.0
0,KC McDermott,1,0,1,0.0
1,T.Y. McGill,1,1,0,0.0
2,Mike McGlinchey,1,0,1,0.0
3,Isaiah McKenzie,1,0,1,0.0
4,Sean McKeon,1,1,0,0.0
5,J.D. McKissic,1,0,1,0.0
6,Tre' McKitty,1,0,1,0.0
7,Brandon McManus,1,0,1,0.0
8,Jake McQuaide,1,1,0,0.0
9,Torry McTyer,1,0,1,0.0
10,Patrick Mekari,1,0,1,0.0
11,DK Metcalf,1,0,1,0.0
12,Sony Michel,1,0,1,0.0
13,Jaydon Mickens,1,0,1,0.0
14,Joe Mixon,1,1,0,0.0
15,David Montgomery,1,1,0,0.0
16,D.J. Montgomery,1,1,0,0.0
17,Rondale Moore,1,0,1,0.0
18,Zack Moss,1,0,1,0.0
19,Taylor Moton,1,1,0,0.0
20,Johnny Mundt,1,0,1,0.0
21,Justin Murray,1,0,1,0.0
22,Latavius Murray,1,1,0,0.0
23,Sam Mustipher,1,0,1,0.0
24,Josh Myers,1,0,1,0.0
0,Quenton Nelson,1,0,0,0.0
1,Parry Nickerson,1,0,1,0.0
2,Storm Norton,1,0,1,0.0
3,Pat O'Donnell,1,0,1,0.0
4,Brian O'Neill,1,0,0,0.0
5,Matthew Orzech,1,0,1,0.0
6,James O'Shaughnessy,1,0,1,0.0
7,Matt Paradis,1,1,0,0.0
8,Cordarrelle Patterson,1,1,0,0.0
9,Riley Patterson,1,0,1,0.0
10,Jason Peters,1,0,1,0.0
11,Dante Pettis,1,0,1,0.0
12,Benning Potoa'e,1,1,0,0.0
13,Adam Prentice,1,0,1,0.0
14,Dak Prescott,1,0,1,0.0
15,Billy Price,1,0,1,0.0
16,Byron Pringle,1,0,1,0.0
17,Justin Pugh,1,0,1,0.0
18,Dillon Radunz,1,0,1,0.0
19,Nick Ralston,1,1,0,0.0
20,Hamilcar Rashed Jr.,1,1,0,0.0
21,Craig Reynolds,1,0,1,0.0
22,LaRoy Reynolds,1,0,1,0.0
23,Calvin Ridley,1,0,1,0.0
24,Edmond Robinson,1,1,0,0.0
0,KeiVarae Russell,1,0,1,0.0
1,Curtis Samuel,1,0,1,0.0
2,Deebo Samuel,1,0,1,0.0
3,Emmanuel Sanders,1,0,1,0.0
4,Mohamed Sanu,1,0,1,0.0
5,Brandon Scherff,1,0,1,0.0
6,Dalton Schultz,1,0,1,0.0
7,Trent Scott,1,0,1,0.0
8,Vernon Scott,1,0,0,0.0
9,Tajae Sharpe,1,0,1,0.0
10,Jabaal Sheard,1,1,0,0.0
11,Trent Sieg,1,0,1,0.0
12,Devin Singletary,1,0,1,0.0
13,Saivion Smith,1,0,1,0.0
14,Jeff Smith,1,0,1,0.0
15,Jordan Smith,1,0,1,0.0
16,Lee Smith,1,0,1,0.0
17,Rodney Smith,1,1,0,0.0
18,Sutton Smith,1,0,1,0.0
19,Shi Smith,1,0,1,0.0
20,Trey Smith,1,0,1,0.0
21,Tyron Smith,1,0,1,0.0
22,Za'Darius Smith,1,0,1,0.0
23,Quinton Spain,1,0,1,0.0
24,Akeem Spence,1,1,0,0.0
0,Marquiss Spencer,1,1,0,0.0
1,Amon-Ra St. Brown,1,0,1,0.0
2,Terence Steele,1,0,1,0.0
3,Dillon Stoner,1,0,1,0.0
4,Tua Tagovailoa,1,1,0,0.0
5,Auden Tate,1,0,1,0.0
6,J.J. Taylor,1,0,1,0.0
7,Patrick Taylor,1,0,1,0.0
8,Ian Thomas,1,0,1,0.0
9,Kiondre Thomas,1,1,0,0.0
10,Cody Thompson,1,1,0,0.0
11,Colin Thompson,1,0,1,0.0
12,Nick Thurman,1,0,0,0.0
13,Carson Tinker,1,1,0,0.0
14,Johnny Townsend,1,0,1,0.0
15,Adam Trautman,1,0,1,0.0
16,Trai Turner,1,0,1,0.0
17,Halapoulivaati Vaitai,1,0,1,0.0
18,Greg Van Roten,1,0,1,0.0
19,Alijah Vera-Tucker,1,0,1,0.0
20,Tristan Vizcaino,1,0,1,0.0
21,Barrington Wade,1,1,0,0.0
22,Shaun Wade,1,1,0,0.0
23,P.J. Walker,1,1,0,0.0
24,Darren Waller,1,0,1,0.0
0,Nigel Warrior,1,0,1,0.0
1,Ar'Darius Washington,1,1,0,0.0
2,Brandon Rusnak,1,0,1,0.0
3,Curtis Weaver,1,1,0,0.0
4,Dede Westbrook,1,0,1,0.0
5,Ethan Westbrooks,1,0,1,0.0
6,Cody Whitehair,1,0,1,0.0
7,Tahir Whitehead,1,1,0,0.0
8,Jordan Wilkins,1,0,1,0.0
9,Javonte Williams,1,0,1,0.0
10,Maxx Williams,1,1,0,0.0
11,Rodarius Williams,1,0,1,0.0
12,Trent Williams,1,0,1,0.0
13,Xavier Williams,1,1,0,0.0
14,Ced Wilson,1,0,1,0.0
15,Jeff Wilson,1,0,1,0.0
16,Zach Wilson,1,0,1,0.0
17,Jameis Winston,1,0,1,0.0
18,Tristan Wirfs,1,0,1,0.0
19,Steven Wirtel,1,0,1,0.0
20,Robert Woods,1,0,1,0.0
21,Renell Wren,1,1,0,0.0
22,Isaiah Wynn,1,0,1,0.0
23,Kenny Yeboah,1,0,1,0.0
24,Demone Harris,0,0,0,0.0
0,,0,0,0,0.0
1,,0,0,0,0.0
2,,0,0,0,0.0
3,,0,0,0,0.0
