,concat_index,Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD,season_year
100,10,Dustin Hopkins,19,1175,24,17,89.5,1,24.0,1,0,0,0,2022
101,11,Austin Seibert,18,1096,281,3,16.7,14,20.1,1,0,0,0,2022
102,12,Braden Mann,17,855,31,11,64.7,3,10.3,3,1,0,0,2022
103,13,Matt Ammendola,16,1022,100,12,75.0,4,25.0,0,0,0,0,2022
104,14,Taylor Bertolet,11,630,109,5,45.4,5,21.8,1,0,0,0,2022
105,15,Dominik Eberle,7,396,0,5,71.4,0,0.0,1,0,1,0,2022
106,16,Justin Reid,7,445,68,5,71.4,2,34.0,0,0,0,0,2022
107,17,Ramiz Ahmed,6,370,65,3,50.0,3,21.7,0,0,0,0,2022
108,18,J.K. Scott,6,387,26,5,83.3,1,26.0,0,0,0,0,2022
109,19,Tristan Vizcaino,6,354,121,0,0.0,6,20.2,0,0,0,0,2022
110,20,Josh Lambo,5,307,108,0,0.0,5,21.6,0,0,0,0,2022
111,21,Caleb Shudak,5,315,14,4,80.0,1,14.0,0,0,0,0,2022
112,22,Matthew Wright,5,310,93,1,20.0,4,23.2,0,0,0,0,2022
113,23,Nick Sciba,4,232,67,0,0.0,3,22.3,0,0,1,0,2022
114,24,Mitch Wishnowsky,4,240,57,0,0.0,4,14.2,0,0,0,0,2022
115,0,Mike Badgley,3,70,14,0,0.0,1,14.0,2,0,0,0,2022
116,1,Eno Benjamin,3,158,34,0,0.0,3,11.3,0,0,0,0,2022
117,2,Ryan Stonehouse,3,180,10,2,66.7,1,10.0,0,0,0,0,2022
118,3,Johnny Hekker,2,17,0,0,0.0,0,0.0,2,0,0,0,2022
119,4,Thomas Morstead,2,147,59,0,0.0,2,29.5,0,0,0,0,2022
120,5,Corey Bojorquez,1,79,50,0,0.0,1,50.0,0,0,0,0,2022
121,6,Logan Cooke,1,45,0,0,0.0,0,0.0,0,0,1,0,2022
122,7,Michael Dickson,1,65,14,0,0.0,1,14.0,0,0,0,0,2022
123,8,Riley Dixon,1,43,0,0,0.0,0,0.0,0,0,1,0,2022
124,9,Jamie Gillan,1,57,18,0,0.0,1,18.0,0,0,0,0,2022
125,10,Sam Martin,1,63,20,0,0.0,1,20.0,0,0,0,0,2022
126,11,Arryn Siposs,1,70,29,0,0.0,1,29.0,0,0,0,0,2022
127,12,Tress Way,1,63,52,0,0.0,1,52.0,0,0,0,0,2022
