,concat_index,Player,Comb,Asst,Solo,Sck,season_year
175,0,Donte Jackson,61,11,48,0.0,2021
176,1,John Johnson,61,24,32,0.5,2021
177,2,Ernest Jones,61,25,29,1.0,2021
178,3,Jourdan Lewis,61,14,45,1.5,2021
179,4,Fabian Moreau,61,17,42,0.0,2021
180,5,Daron Payne,61,26,28,4.5,2021
181,6,Lawrence Guy,60,23,23,1.5,2021
182,7,Neville Hewitt,60,23,32,0.0,2021
183,8,Matt Judon,60,22,31,12.5,2021
184,9,Devin McCourty,60,18,40,0.0,2021
185,10,Terrance Mitchell,60,15,38,0.0,2021
186,11,Tyus Bowser,59,26,29,7.0,2021
187,12,Grady Jarrett,59,21,28,1.0,2021
188,13,Cameron Jordan,59,21,35,12.5,2021
189,14,Nik Needham,59,11,42,1.0,2021
190,15,Baron Browning,58,26,32,0.0,2021
191,16,Ronnie Harrison,58,18,32,1.0,2021
192,17,Marlon Humphrey,58,14,41,0.0,2021
193,18,J.C. Jackson,58,14,40,0.0,2021
194,19,Byron Jones,58,11,40,0.0,2021
195,20,Rodney McLeod,58,26,31,0.0,2021
196,21,Pat Surtain II,58,13,45,0.0,2021
197,22,Levi Wallace,58,11,42,0.0,2021
198,23,Malcom Brown,57,27,24,2.0,2021
199,24,Rasul Douglas,57,5,51,0.0,2021
200,0,Rashaan Evans,57,22,29,0.0,2021
201,1,Linval Joseph,57,27,24,1.0,2021
202,2,Ben Niemann,57,18,33,1.0,2021
203,3,Amani Oruwariye,57,13,42,0.0,2021
204,4,Maxx Crosby,56,20,26,8.0,2021
205,5,D.J. Jones,56,16,34,2.0,2021
206,6,Robert Spillane,56,27,25,0.0,2021
207,7,Jayon Brown,55,20,32,0.0,2021
208,8,Brandon Facyson,55,13,38,0.0,2021
209,9,Greg Gaines,55,27,21,4.5,2021
210,10,Lonnie Johnson,55,17,33,0.0,2021
211,11,Tre'von Moehrig,55,19,35,0.0,2021
212,12,George Odum,55,10,39,0.0,2021
213,13,Eric Stokes,55,12,40,0.0,2021
214,14,Ugo Amadi,54,12,40,0.0,2021
215,15,Anthony Averett,54,8,43,0.0,2021
216,16,Michael Davis,54,12,37,0.0,2021
217,17,Janoris Jenkins,54,16,33,0.0,2021
218,18,Dexter Lawrence,54,27,25,2.5,2021
219,19,Jeffery Simmons,54,12,34,8.5,2021
220,20,Cameron Dantzler,53,9,41,0.0,2021
221,21,Ronald Darby,53,11,40,0.0,2021
222,22,Jamel Dean,53,9,39,0.0,2021
223,23,Poona Ford,53,30,19,2.0,2021
224,24,Rudy Ford,53,14,38,0.5,2021
225,0,Quinnen Williams,53,17,30,6.0,2021
226,1,Nick Bosa,52,12,38,15.5,2021
227,2,Michael Brockers,52,29,18,1.0,2021
228,3,Christian Covington,52,22,25,1.0,2021
229,4,Trevon Diggs,52,9,39,0.0,2021
230,5,Damontae Kazee,52,17,33,0.0,2021
231,6,Darius Slay,52,12,37,0.0,2021
232,7,Cameron Sutton,52,8,43,0.0,2021
233,8,K'Waun Williams,52,12,35,1.0,2021
234,9,Mackensie Alexander,51,18,29,0.0,2021
235,10,Shaquil Barrett,51,14,34,10.0,2021
236,11,Joey Bosa,51,15,30,10.5,2021
237,12,Kyle Fuller,51,11,38,0.0,2021
238,13,Myles Garrett,51,18,31,16.0,2021
239,14,DeAndre Houston-Carson,51,18,28,0.0,2021
240,15,Bilal Nichols,51,25,20,3.0,2021
241,16,Harrison Phillips,51,23,23,1.0,2021
242,17,Malcolm Smith,51,19,22,0.0,2021
243,18,Daniel Sorensen,51,11,38,1.0,2021
244,19,Jerry Tillery,51,27,19,4.5,2021
245,20,Chris Wormley,51,22,24,7.0,2021
246,21,K.J. Wright,51,26,20,0.0,2021
247,22,Kwon Alexander,50,11,32,3.5,2021
248,23,Brian Burns,50,19,27,9.0,2021
249,24,Lorenzo Carter,50,22,22,5.0,2021
250,0,B.J. Hill,50,21,25,5.5,2021
251,1,Xavien Howard,50,11,35,1.0,2021
252,2,Von Miller,50,17,27,9.5,2021
253,3,Steven Nelson,50,16,31,0.0,2021
254,4,AJ Parker,50,11,36,0.0,2021
255,5,Greg Rousseau,50,8,35,4.0,2021
256,6,Al Woods,50,24,20,1.5,2021
257,7,Eli Apple,49,11,35,0.0,2021
258,8,Calais Campbell,49,20,21,1.5,2021
259,9,Rashad Fenton,49,10,39,0.0,2021
260,10,Shaquill Griffin,49,13,35,0.0,2021
261,11,Shelby Harris,49,25,23,6.0,2021
262,12,Troy Hill,49,15,28,2.0,2021
263,13,Ryan Neal,49,17,28,1.0,2021
264,14,Josh Norman,49,13,35,0.0,2021
265,15,Larry Ogunjobi,49,20,23,7.0,2021
266,16,Azeez Ojulari,49,20,28,8.0,2021
267,17,Robert Quinn,49,11,32,18.5,2021
268,18,Isaiah Rodgers,49,10,35,0.0,2021
269,19,Zach Allen,48,18,24,4.0,2021
270,20,Sean Chandler,48,21,25,0.0,2021
271,21,Kenny Clark,48,21,23,4.0,2021
272,22,Willie Gay Jr.,48,22,22,0.5,2021
273,23,Markus Golden,48,15,29,11.0,2021
274,24,Rasheem Green,48,21,19,6.5,2021
275,0,Javelin Guidry,48,15,28,0.0,2021
276,1,Al-Quadin Muhammad,48,16,25,6.0,2021
277,2,Shy Tuttle,48,31,16,0.0,2021
278,3,Marco Wilson,48,8,36,0.0,2021
279,4,James Bradberry,47,10,36,0.0,2021
280,5,Rashan Gary,47,20,23,9.5,2021
281,6,Tashaun Gipson,47,14,32,1.0,2021
282,7,Mike Hughes,47,7,40,0.0,2021
283,8,Quinton Jefferson,47,30,13,4.5,2021
284,9,Arthur Maulet,47,9,36,0.0,2021
285,10,Jalen Mills,47,12,33,0.0,2021
286,11,James Pierre,47,10,33,0.0,2021
287,12,Nick Scott,47,19,26,0.0,2021
288,13,M.J. Stewart,47,13,29,0.0,2021
289,14,D.J. Wonnum,47,18,24,8.0,2021
290,15,Christian Barmore,46,23,14,1.5,2021
291,16,Derek Barnett,46,26,17,2.0,2021
292,17,Mike Edwards,46,12,31,0.0,2021
293,18,Foley Fatukasi,46,21,17,0.0,2021
294,19,C.J. Gardner-Johnson,46,14,31,2.0,2021
295,20,Jonas Griffith,46,24,18,0.0,2021
296,21,DaVon Hamilton,46,20,23,1.0,2021
297,22,Casey Hayward,46,7,37,0.0,2021
298,23,Jaylon Johnson,46,9,33,0.0,2021
299,24,Marcus Maye,46,16,26,1.0,2021
300,0,Grover Stewart,46,23,15,1.0,2021
301,1,Kindle Vildor,46,13,30,1.0,2021
302,2,Armon Watts,46,26,15,5.0,2021
303,3,Eric Wilson,46,26,17,0.0,2021
304,4,Divine Deablo,45,17,22,0.0,2021
305,5,Myles Hartsfield,45,15,28,1.0,2021
306,6,Patrick Peterson,45,11,33,0.0,2021
307,7,Elijah Riley,45,22,20,1.0,2021
308,8,Josh Sweat,45,26,17,7.5,2021
309,9,Marcell Harris,44,20,22,1.0,2021
310,10,Malik Hooker,44,14,28,0.0,2021
311,11,Sione Takitaki,44,23,20,0.0,2021
312,12,Genard Avery,43,22,19,1.0,2021
313,13,Angelo Blackson,43,19,22,2.5,2021
314,14,Sean Murphy-Bunting,43,13,26,0.0,2021
315,15,Ross Cockrell,43,14,28,0.0,2021
316,16,Dane Cruikshank,43,13,29,0.0,2021
317,17,Frankie Luvu,43,17,21,1.5,2021
318,18,Steven Means,43,19,15,0.0,2021
319,19,D.J. Reader,43,21,18,2.0,2021
320,20,Jarran Reed,43,20,20,2.5,2021
321,21,Malik Reed,43,19,22,5.0,2021
322,22,Asante Samuel Jr.,43,10,31,0.0,2021
323,23,Denzel Ward,43,9,33,0.5,2021
324,24,Alohi Gilman,42,14,24,0.0,2021
325,0,Dean Lowry,42,18,20,5.0,2021
326,1,Emmanuel Moseley,42,9,31,0.0,2021
327,2,Jaelan Phillips,42,19,20,8.5,2021
328,3,P.J. Williams,42,6,35,2.0,2021
329,4,Mack Wilson,42,16,24,0.0,2021
330,5,Chris Board,41,23,18,0.0,2021
331,6,Derrick Brown,41,14,24,3.0,2021
332,7,Myles Bryant,41,13,25,1.0,2021
333,8,Dane Jackson,41,8,31,0.0,2021
334,9,Emmanuel Ogbah,41,15,19,9.0,2021
335,10,Ed Oliver,41,12,24,4.0,2021
336,11,Davion Taylor,41,17,23,0.0,2021
337,12,Tre'Davious White,41,14,23,0.5,2021
338,13,Greedy Williams,41,6,34,0.0,2021
339,14,Deatrich Wise,41,13,21,3.0,2021
340,15,Deon Bush,40,9,28,0.0,2021
341,16,Tevaughn Campbell,40,9,28,0.0,2021
342,17,Zaire Franklin,40,19,17,0.0,2021
343,18,Kristian Fulton,40,10,29,0.0,2021
344,19,Chandler Jones,40,10,27,10.5,2021
345,20,David Long,40,5,31,0.0,2021
346,21,Kevin Minter,40,14,24,1.0,2021
347,22,Uchenna Nwosu,40,16,17,5.0,2021
348,23,Andrew Sendejo,40,11,24,0.0,2021
349,24,Tarell Basham,39,18,17,3.5,2021
350,0,Brandon Copeland,39,16,19,0.0,2021
351,1,Marcus Davenport,39,16,21,9.0,2021
352,2,Carlton Davis,39,6,31,0.0,2021
353,3,Tre Flowers,39,10,23,0.0,2021
354,4,Trevis Gipson,39,16,21,7.0,2021
355,5,C.J. Henderson,39,8,29,0.0,2021
356,6,William Jackson,39,3,34,0.0,2021
357,7,Alim McNeill,39,24,11,2.0,2021
358,8,Xavier Rhodes,39,7,29,0.0,2021
359,9,Sheldon Richardson,39,15,18,2.5,2021
360,10,Dalvin Tomlinson,39,22,11,2.5,2021
361,11,DeShawn Williams,39,22,15,1.0,2021
362,12,Markus Bailey,38,17,17,0.5,2021
363,13,Henry Black,38,10,26,0.0,2021
364,14,Jonathon Cooper,38,16,18,2.5,2021
365,15,Samson Ebukam,38,17,20,4.5,2021
366,16,Joe Haden,38,12,20,0.0,2021
367,17,Antonio Hamilton,38,7,29,0.0,2021
368,18,Johnathan Hankins,38,23,14,0.0,2021
369,19,Danielle Hunter,38,15,22,6.0,2021
370,20,Matthew Ioannidis,38,22,14,2.5,2021
371,21,DaQuan Jones,38,19,11,1.0,2021
372,22,Sebastian Joseph-Day,38,15,16,3.0,2021
373,23,Derrick Nnadi,38,17,19,3.0,2021
374,24,Tre Norwood,38,6,26,0.0,2021
375,0,Quincy Roche,38,15,15,2.5,2021
376,1,Jaylon Smith,38,12,24,1.0,2021
377,2,Preston Smith,38,13,22,9.0,2021
378,3,Keith Taylor,38,7,29,0.0,2021
379,4,Robert Alford,37,7,29,0.0,2021
380,5,Dorance Armstrong,37,14,17,5.0,2021
381,6,Cody Barton,37,14,18,0.0,2021
382,7,Jadeveon Clowney,37,13,20,9.0,2021
383,8,Chris Harris,37,7,28,0.0,2021
384,9,Justin Jones,37,18,16,3.0,2021
385,10,Greg Newsome II,37,4,30,0.0,2021
