,concat_index,Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,season_year
145,20,Wayne Gallman,7.0,1,7,0,0,0,7,0,0,2021
146,21,Cyril Grayson,7.0,1,7,0,0,0,7,0,0,2021
147,22,Cooper Kupp,6.7,3,20,0,0,0,12,0,0,2021
148,23,Darrell Daniels,6.0,1,6,0,0,0,6,0,0,2021
149,24,Tony Jones,5.0,1,5,0,0,0,5,0,0,2021
150,0,Alec Ingold,4.0,1,4,0,0,0,4,0,0,2021
151,1,JuJu Smith-Schuster,3.0,1,3,0,0,0,3,0,0,2021
152,2,Greg Ward,3.0,1,3,0,0,0,3,0,0,2021
153,3,Germaine Pratt,2.0,1,2,0,0,0,2,0,0,2021
154,4,Albert Wilson,2.0,1,2,0,0,0,2,0,0,2021
155,5,Ross Dwelley,1.0,1,1,0,0,0,1,0,0,2021
156,6,Adrian Amos,0.0,1,0,0,0,0,0,0,0,2021
157,7,Robbie Anderson,0.0,1,0,0,0,0,0,0,0,2021
158,8,Francis Bernard,0.0,1,0,0,0,0,0,0,0,2021
159,9,Jordyn Brooks,0.0,1,0,0,0,0,0,0,0,2021
160,10,Rex Burkhead,0.0,1,0,0,0,0,0,0,0,2021
161,11,Sean Chandler,0.0,1,0,0,0,0,0,0,0,2021
162,12,Jabril Cox,0.0,1,0,0,0,0,0,0,0,2021
163,13,AJ Dillon,0.0,1,0,0,0,0,0,0,0,2021
164,14,Jack Doyle,0.0,2,0,0,0,0,0,0,0,2021
165,15,Minkah Fitzpatrick,0.0,1,0,0,0,0,0,0,0,2021
166,16,Jonathan Garvin,0.0,1,0,0,0,0,0,0,0,2021
167,17,Dallas Goedert,0.0,2,0,0,0,0,0,0,0,2021
168,18,A.J. Green,0.0,1,0,0,0,0,0,0,0,2021
169,19,Hunter Henry,0.0,1,0,0,0,0,0,0,0,2021
170,20,Tyler Higbee,0.0,1,0,0,0,0,0,0,0,2021
171,21,John Hightower,0.0,1,0,0,0,0,17,0,0,2021
172,22,Adam Humphries,0.0,1,0,0,0,0,0,0,0,2021
173,23,Trenton Irwin,0.0,1,0,0,0,0,0,0,0,2021
174,24,Van Jefferson,0.0,1,0,0,0,0,0,0,0,2021
175,0,Jaquan Johnson,0.0,1,0,0,0,0,0,0,0,2021
176,1,Christian Kirk,0.0,1,0,0,0,0,0,0,0,2021
177,2,Cole Kmet,0.0,1,0,0,0,0,0,0,0,2021
178,3,Allen Lazard,0.0,1,0,0,0,0,0,0,0,2021
179,4,Josh Metellus,0.0,1,0,0,0,0,0,0,0,2021
180,5,Foster Moreau,0.0,1,0,0,0,0,0,0,0,2021
181,6,Tre Norwood,0.0,1,0,0,0,0,0,0,0,2021
182,7,Aaron Patrick,0.0,1,0,0,0,0,0,0,0,2021
183,8,Michael Pittman,0.0,1,0,0,0,0,0,0,0,2021
184,9,Josh Reynolds,0.0,1,0,0,0,0,0,0,0,2021
185,10,Demarcus Robinson,0.0,1,0,0,0,0,0,0,0,2021
186,11,Jaylen Samuels,0.0,1,0,0,0,0,0,0,0,2021
187,12,Eric Saubert,0.0,1,0,0,0,0,0,0,0,2021
188,13,Trey Sermon,0.0,1,0,0,0,0,0,1,0,2021
189,14,Laviska Shenault Jr.,0.0,1,0,0,0,0,0,0,0,2021
190,15,DeVonta Smith,0.0,1,0,0,0,0,0,0,0,2021
191,16,Justin Strnad,0.0,1,0,0,0,0,0,0,0,2021
192,17,Freddie Swain,0.0,1,0,0,0,0,0,0,0,2021
193,18,Tavierre Thomas,0.0,0,30,0,1,0,30,0,0,2021
194,19,Joe Walker,0.0,1,0,0,0,0,0,0,0,2021
195,20,Fred Warner,0.0,1,0,0,0,0,0,0,0,2021
196,21,Nick Westbrook-Ikhine,0.0,1,0,0,0,0,0,0,0,2021
197,22,Kyzir White,0.0,1,0,0,0,0,0,0,0,2021
198,23,,0.0,0,0,0,0,0,0,0,0,2021
199,24,,0.0,0,0,0,0,0,0,0,0,2021
200,0,,0.0,0,0,0,0,0,0,0,0,2021
201,1,,0.0,0,0,0,0,0,0,0,0,2021
202,2,,0.0,0,0,0,0,0,0,0,0,2021
203,3,,0.0,0,0,0,0,0,0,0,0,2021
204,4,,0.0,0,0,0,0,0,0,0,0,2021
205,5,,0.0,0,0,0,0,0,0,0,0,2021
206,6,,0.0,0,0,0,0,0,0,0,0,2021
207,7,,0.0,0,0,0,0,0,0,0,0,2021
208,8,,0.0,0,0,0,0,0,0,0,0,2021
209,9,,0.0,0,0,0,0,0,0,0,0,2021
210,10,,0.0,0,0,0,0,0,0,0,0,2021
211,11,,0.0,0,0,0,0,0,0,0,0,2021
212,12,,0.0,0,0,0,0,0,0,0,0,2021
213,13,,0.0,0,0,0,0,0,0,0,0,2021
214,14,,0.0,0,0,0,0,0,0,0,0,2021
215,15,,0.0,0,0,0,0,0,0,0,0,2021
216,16,,0.0,0,0,0,0,0,0,0,0,2021
217,17,,0.0,0,0,0,0,0,0,0,0,2021
218,18,,0.0,0,0,0,0,0,0,0,0,2021
219,19,,0.0,0,0,0,0,0,0,0,0,2021
220,20,,0.0,0,0,0,0,0,0,0,0,2021
221,21,,0.0,0,0,0,0,0,0,0,0,2021
222,22,,0.0,0,0,0,0,0,0,0,0,2021
223,23,,0.0,0,0,0,0,0,0,0,0,2021
224,24,,0.0,0,0,0,0,0,0,0,0,2021
225,0,,0.0,0,0,0,0,0,0,0,0,2021
226,1,,0.0,0,0,0,0,0,0,0,0,2021
227,2,,0.0,0,0,0,0,0,0,0,0,2021
228,3,,0.0,0,0,0,0,0,0,0,0,2021
229,4,,0.0,0,0,0,0,0,0,0,0,2021
230,0,Desmond King,50.0,1,50,0,1,1,50,0,0,2022
231,1,Kyle Dugger,37.0,1,37,0,1,0,37,0,0,2022
232,2,Khalil Shakir,34.0,1,34,0,1,0,34,0,0,2022
233,3,Kalif Raymond,32.5,2,65,0,1,1,52,0,1,2022
234,4,Brandon Bolden,32.0,1,32,0,1,0,32,0,0,2022
235,5,Cordarrelle Patterson,31.6,9,284,1,7,1,103,0,0,2022
236,6,Dallis Flowers,31.1,23,715,0,22,3,89,0,1,2022
237,7,Khalil Herbert,29.2,5,146,0,4,1,50,0,0,2022
238,8,Nyheim Hines,29.2,19,554,2,14,2,101,0,0,2022
239,9,Russ Yeast,29.0,1,29,0,1,0,29,0,0,2022
240,10,Keisean Nixon,28.8,35,1009,1,21,5,105,0,0,2022
241,11,Godwin Igwebuike,28.0,11,308,0,9,2,50,0,0,2022
242,12,Ty Montgomery,28.0,1,28,0,1,0,28,0,0,2022
243,13,Velus Jones Jr.,27.6,22,607,0,20,4,63,0,0,2022
244,14,Laviska Shenault Jr.,27.3,3,82,0,2,0,36,0,0,2022
245,15,Boston Scott,27.1,15,406,0,9,2,66,0,0,2022
246,16,Raheem Blackshear,27.0,19,513,0,13,3,66,0,0,2022
247,17,D'Ernest Johnson,27.0,1,27,0,1,0,27,0,0,2022
248,18,Justin Jackson,26.6,23,613,0,22,1,42,0,0,2022
249,19,Kene Nwangwu,26.3,35,920,1,28,1,97,0,0,2022
250,20,Jamal Agnew,26.0,21,547,0,17,2,54,0,0,2022
251,21,Devin Duvernay,25.5,15,383,1,9,1,103,0,0,2022
252,22,Steven Sims,25.5,17,434,0,10,1,89,0,0,2022
253,23,Isaiah Rodgers,25.1,18,452,0,13,1,45,0,0,2022
254,24,Jonathan Ward,25.0,1,25,0,1,0,25,0,0,2022
255,0,Justice Hill,24.7,10,247,0,8,1,56,0,0,2022
256,1,Maurice Alexander,24.3,6,146,0,4,1,47,0,0,2022
257,2,JaMycal Hasty,24.2,4,97,0,3,0,29,0,0,2022
258,3,Jaret Patterson,24.2,4,97,0,4,0,27,0,0,2022
259,4,KaVontae Turpin,24.2,21,508,0,13,1,63,0,0,2022
260,5,Jerome Ford,24.1,30,723,0,18,3,48,0,0,2022
261,6,Pharoh Cooper,24.0,12,288,0,8,0,33,0,0,2022
262,7,Isaiah McKenzie,24.0,6,144,0,4,1,42,0,0,2022
263,8,Marcus Jones,23.9,27,645,0,18,1,46,0,0,2022
264,9,Antonio Gibson,23.1,21,486,0,15,2,45,0,0,2022
265,10,Braxton Berrios,23.1,26,600,0,21,1,42,0,0,2022
266,11,Ray-Ray McCloud,23.0,26,599,0,18,0,39,0,1,2022
267,12,Taysom Hill,23.0,3,69,0,2,0,26,0,1,2022
268,13,Dontrell Hilliard,23.0,1,23,0,1,0,23,0,0,2022
269,14,Dare Ogunbowale,23.0,2,46,0,2,0,25,0,0,2022
270,15,Pierre Strong,23.0,5,115,0,5,0,26,0,0,2022
271,16,Shane Zylstra,23.0,2,46,0,2,0,26,0,0,2022
272,17,Rashid Shaheed,22.9,14,320,0,11,0,31,0,0,2022
273,18,Deonte Harty,22.8,6,137,0,5,0,33,0,0,2022
274,19,Trestan Ebner,22.6,10,226,0,7,0,30,0,0,2022
275,20,Eno Benjamin,22.5,8,180,0,5,1,44,0,0,2022
276,21,DeeJay Dallas,22.5,12,270,0,8,0,30,0,0,2022
277,22,Duke Johnson,22.4,7,157,0,5,1,43,0,0,2022
278,23,Jaelon Darden,22.3,3,67,0,2,0,25,0,0,2022
279,24,Trayveon Williams,22.2,16,356,0,10,1,42,0,0,2022
280,0,Rachaad White,22.2,11,244,0,8,0,30,0,1,2022
281,1,Michael Hoecht,22.0,1,22,0,1,0,22,0,0,2022
282,2,Tremon Smith,22.0,19,417,0,13,0,32,0,0,2022
283,3,Deven Thompkins,21.9,12,263,0,6,1,54,0,0,2022
284,4,Hassan Haskins,21.8,19,414,0,10,0,37,0,0,2022
285,5,Julius Chestnut,21.5,10,215,0,7,0,33,0,0,2022
286,6,D'Wayne Eskridge,21.4,7,150,0,5,0,29,0,0,2022
287,7,Gary Brightwell,21.4,26,555,0,14,2,47,0,0,2022
288,8,Chester Rogers,21.2,8,170,0,4,0,28,0,0,2022
289,9,Chris Evans,21.1,10,211,0,7,0,29,0,0,2022
290,10,Jalen Virgil,21.0,1,21,0,1,0,21,0,1,2022
291,11,Ameer Abdullah,20.9,26,543,0,15,0,33,0,0,2022
292,12,Chuba Hubbard,20.8,5,104,0,2,0,36,0,1,2022
293,13,Britain Covey,20.6,10,206,0,8,0,26,0,0,2022
294,14,Isiah Pacheco,20.6,29,597,0,12,3,48,0,1,2022
295,15,C.J. Board,20.5,4,82,0,3,0,22,0,0,2022
296,16,Amari Rodgers,20.3,6,122,0,2,0,34,0,0,2022
297,17,Brandon Powell,20.2,30,605,0,15,0,34,0,0,2022
