,concat_index,Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,season_year
383,10,Jamaal Williams,1066,262,17,4,2,58,65,24.8,3,2022
384,11,Kenneth Walker III,1050,228,9,10,3,74,51,22.4,0,2022
385,12,Rhamondre Stevenson,1040,210,5,7,1,49,49,23.3,2,2022
386,13,Tyler Allgeier,1035,210,3,6,3,44,53,25.2,0,2022
387,14,Najee Harris,1034,272,7,1,0,36,45,16.5,2,2022
388,15,Tony Pollard,1007,193,9,9,3,57,46,23.8,0,2022
389,16,Dameon Pierce,939,220,4,7,2,75,54,24.6,4,2022
390,17,Austin Ekeler,915,204,13,4,2,72,46,22.6,3,2022
391,18,D'Onta Foreman,914,203,5,8,1,60,45,22.2,1,2022
392,19,Alvin Kamara,897,223,2,3,0,27,40,17.9,2,2022
393,20,Raheem Mostert,891,181,3,6,1,67,44,24.3,1,2022
394,21,Ezekiel Elliott,876,231,12,5,0,27,52,22.5,0,2022
395,22,Jonathan Taylor,861,192,4,5,1,66,39,20.3,3,2022
396,23,Jeff Wilson,860,176,5,7,1,41,43,24.4,2,2022
397,24,Isiah Pacheco,830,170,5,3,0,31,37,21.8,3,2022
398,0,Devin Singletary,819,177,5,5,0,33,42,23.7,3,2022
399,1,Joe Mixon,814,210,7,4,1,40,47,22.4,0,2022
400,2,David Montgomery,801,201,5,2,0,28,41,20.4,1,2022
401,3,Brian Robinson,797,205,2,2,0,24,49,23.9,2,2022
402,4,Cam Akers,786,188,7,3,1,42,39,20.7,2,2022
403,5,James Conner,782,183,7,3,0,23,48,26.2,3,2022
404,6,AJ Dillon,770,186,7,3,0,27,47,25.3,0,2022
405,7,Lamar Jackson,764,112,3,5,1,79,46,41.1,2,2022
406,8,Josh Allen,762,124,7,8,1,44,55,44.4,7,2022
407,9,Jalen Hurts,760,165,13,7,1,42,67,40.6,5,2022
408,10,Latavius Murray,760,171,6,5,1,52,44,25.7,1,2022
409,11,Khalil Herbert,731,129,4,4,2,63,26,20.2,0,2022
410,12,Daniel Jones,708,120,7,4,0,25,57,47.5,2,2022
411,13,Cordarrelle Patterson,695,144,8,4,1,40,39,27.1,1,2022
412,14,Leonard Fournette,668,189,3,1,0,23,39,20.6,0,2022
413,15,Taysom Hill,575,96,7,3,2,60,34,35.4,1,2022
414,16,Antonio Gibson,546,149,3,1,0,20,32,21.5,1,2022
415,17,D'Andre Swift,542,99,5,3,2,50,21,21.2,0,2022
416,18,J.K. Dobbins,520,92,2,4,1,44,26,28.3,0,2022
417,19,James Cook,507,89,2,6,0,33,24,27.0,1,2022
418,20,Kenyan Drake,482,109,4,5,1,40,21,19.3,1,2022
419,21,Rachaad White,481,129,1,2,0,35,27,20.9,1,2022
420,22,Kareem Hunt,468,123,3,2,0,24,30,24.4,1,2022
421,23,Chuba Hubbard,466,95,2,3,0,35,23,24.2,0,2022
422,24,Breece Hall,463,80,4,3,1,62,20,25.0,0,2022
423,0,Damien Harris,462,106,3,2,0,30,23,21.7,0,2022
424,1,Zack Moss,456,93,1,2,1,43,18,19.4,1,2022
425,2,Marcus Mariota,438,85,4,4,0,30,30,35.3,4,2022
426,3,Gus Edwards,433,87,3,3,0,37,30,34.5,1,2022
427,4,James Robinson,425,110,3,4,1,50,22,20.0,1,2022
428,5,Kyler Murray,418,67,3,3,1,42,23,34.3,5,2022
429,6,Michael Carter,402,114,3,3,0,25,14,12.3,1,2022
430,7,Samaje Perine,394,95,2,1,0,29,19,20.0,0,2022
431,8,Jaylen Warren,379,77,1,3,0,31,20,26.0,1,2022
432,9,Caleb Huntley,366,76,1,2,0,30,18,23.7,1,2022
433,10,Geno Smith,366,68,1,2,0,25,24,35.3,3,2022
434,11,Patrick Mahomes,358,61,4,1,0,20,25,41.0,4,2022
435,12,Rashaad Penny,346,57,2,5,1,41,15,26.3,1,2022
436,13,Melvin Gordon,318,90,2,0,0,17,15,16.7,4,2022
437,14,Eno Benjamin,313,77,2,1,1,45,14,18.2,0,2022
438,15,Clyde Edwards-Helaire,302,71,3,2,1,52,15,21.1,0,2022
439,16,Bam Knight,300,85,1,1,1,48,14,16.5,1,2022
440,17,Trevor Lawrence,291,62,5,1,0,24,27,43.6,5,2022
441,18,Jerick McKinnon,291,72,1,2,0,30,12,16.7,0,2022
442,19,Joshua Kelley,287,69,2,1,0,22,16,23.2,0,2022
443,20,Darrell Henderson,283,70,3,1,0,23,14,20.0,0,2022
444,21,Alexander Mattison,283,74,5,0,0,15,21,28.4,0,2022
445,22,Elijah Mitchell,279,45,2,1,0,37,15,33.3,0,2022
446,23,Russell Wilson,277,55,3,0,0,19,21,38.2,2,2022
447,24,Justice Hill,262,49,0,1,0,34,15,30.6,1,2022
448,0,Jordan Mason,258,43,1,1,1,55,10,23.3,0,2022
449,1,Joe Burrow,257,75,5,2,0,23,27,36.0,0,2022
450,2,Chase Edmonds,245,68,2,3,0,28,8,11.8,0,2022
451,3,Jacoby Brissett,243,49,2,3,0,22,28,57.1,1,2022
452,4,Kenneth Gainwell,240,53,4,0,0,13,17,32.1,0,2022
453,5,Kenny Pickett,237,55,3,1,0,23,23,41.8,3,2022
454,6,Deon Jackson,236,68,1,0,0,17,13,19.1,1,2022
455,7,Mark Ingram,233,62,1,0,0,14,12,19.4,1,2022
456,8,Deebo Samuel,232,42,3,3,1,51,8,19.0,3,2022
457,9,Matt Breida,220,54,1,0,0,18,13,24.1,0,2022
458,10,Boston Scott,217,54,3,1,0,21,12,22.2,0,2022
459,11,Javonte Williams,204,47,0,0,0,17,9,19.2,1,2022
460,12,JaMycal Hasty,194,46,2,1,1,61,7,15.2,0,2022
461,13,Curtis Samuel,187,38,1,2,0,21,11,29.0,1,2022
462,14,DeeJay Dallas,186,35,0,1,0,27,9,25.7,0,2022
463,15,Dak Prescott,182,45,1,1,0,25,19,42.2,1,2022
464,16,Deshaun Watson,175,36,1,2,0,21,10,27.8,1,2022
465,17,Justin Jackson,170,42,1,1,0,27,8,19.0,0,2022
466,18,Malik Davis,161,38,1,2,0,23,6,15.8,0,2022
467,19,Ty Johnson,160,30,1,2,0,32,5,16.7,0,2022
468,20,Jonathan Williams,152,37,0,1,0,23,6,16.2,0,2022
469,21,Justin Herbert,147,54,0,1,0,23,17,31.5,3,2022
470,22,Dontrell Hilliard,145,22,0,2,0,30,4,18.2,0,2022
471,23,Gary Brightwell,141,31,1,1,0,25,9,29.0,0,2022
472,24,Kyren Williams,139,35,0,0,0,17,6,17.1,0,2022
473,0,Tyler Huntley,137,43,1,0,0,14,12,27.9,3,2022
474,1,Dare Ogunbowale,123,42,1,0,0,11,10,23.8,0,2022
475,2,Malik Willis,123,27,1,0,0,17,8,29.6,2,2022
476,3,Royce Freeman,117,41,0,0,0,11,7,17.1,1,2022
477,4,Avery Williams,109,22,1,1,0,21,6,27.3,0,2022
478,5,Davis Mills,108,32,2,0,0,17,7,21.9,3,2022
479,6,Sam Darnold,106,26,2,1,0,26,9,34.6,5,2022
480,7,Sony Michel,106,36,0,0,0,12,8,22.2,0,2022
481,8,Velus Jones Jr.,103,9,1,1,1,42,5,55.6,1,2022
482,9,Mike Boone,102,24,0,0,0,18,6,25.0,0,2022
483,10,Derek Carr,102,24,0,1,0,20,10,41.7,1,2022
484,11,Mac Jones,102,47,1,0,0,15,12,25.5,2,2022
485,12,Craig Reynolds,102,23,0,1,0,21,4,17.4,0,2022
486,13,Darrel Williams,102,21,1,1,0,30,8,38.1,0,2022
487,14,Zach Wilson,102,28,1,0,0,18,7,25.0,0,2022
488,15,Pierre Strong,100,10,1,1,1,44,5,50.0,0,2022
489,16,Tyrion Davis-Price,99,34,0,1,0,20,5,14.7,0,2022
490,17,Ryan Tannehill,98,34,2,0,0,17,12,35.3,1,2022
491,18,Kirk Cousins,97,31,2,0,0,19,11,35.5,2,2022
492,19,Taylor Heinicke,96,28,1,0,0,15,6,21.4,1,2022
493,20,J.D. McKissic,95,22,0,1,0,33,5,22.7,0,2022
494,21,Amon-Ra St. Brown,95,9,0,1,1,58,3,33.3,0,2022
495,22,Aaron Rodgers,94,34,1,0,0,18,9,26.5,2,2022
496,23,Hassan Haskins,93,25,0,0,0,12,5,20.0,0,2022
497,24,Braxton Berrios,91,9,2,2,0,25,5,55.6,0,2022
498,0,Bryce Perkins,90,19,0,1,0,23,6,31.6,0,2022
499,1,Benny Snell,90,20,1,0,0,16,6,30.0,0,2022
500,2,Baker Mayfield,89,31,1,0,0,17,6,19.4,5,2022
501,3,Sam Ehlinger,87,17,0,0,0,19,5,29.4,1,2022
502,4,Jamal Agnew,86,12,0,1,0,30,6,50.0,0,2022
503,5,Carson Wentz,86,22,1,0,0,18,4,18.2,2,2022
504,6,Devin Duvernay,84,12,1,0,0,18,7,58.3,0,2022
505,7,Marlon Mack,84,16,1,0,0,17,4,25.0,0,2022
506,8,Jarrett Stidham,84,14,0,0,0,11,7,50.0,1,2022
507,9,Kadarius Toney,82,7,1,1,0,32,5,71.4,0,2022
508,10,Malcolm Brown,81,18,1,1,0,23,3,16.7,0,2022
509,11,Rex Burkhead,80,26,0,0,0,9,4,15.4,0,2022
510,12,Brandon Powell,80,17,0,1,0,20,6,35.3,0,2022
511,13,Christian Watson,80,7,2,1,1,46,2,28.6,0,2022
512,14,Ray-Ray McCloud,78,4,1,1,1,71,1,25.0,0,2022
513,15,Jaret Patterson,78,17,0,0,0,14,3,17.6,0,2022
514,16,Raheem Blackshear,77,23,3,0,0,16,7,30.4,0,2022
515,17,Jeff Driskel,75,20,0,0,0,10,4,20.0,0,2022
516,18,Travis Homer,74,19,0,0,0,16,4,21.0,0,2022
517,19,Jared Goff,73,29,0,0,0,14,5,17.2,2,2022
518,20,Ronald Jones,70,17,1,0,0,13,4,23.5,0,2022
519,21,Matt Ryan,70,27,1,1,0,39,9,33.3,3,2022
520,22,Steven Sims,70,13,0,1,0,22,5,38.5,0,2022
521,23,Tua Tagovailoa,70,24,0,0,0,18,4,16.7,2,2022
522,24,Tyrod Taylor,70,5,0,1,0,32,5,100.0,1,2022
523,0,Zamir White,70,17,0,1,0,22,4,23.5,0,2022
524,1,Trey Lance,67,16,0,0,0,13,7,43.8,1,2022
525,2,Brandon Bolden,66,17,0,0,0,12,3,17.6,0,2022
526,3,Laviska Shenault Jr.,65,9,1,1,1,41,1,11.1,0,2022
527,4,Salvon Ahmed,64,12,1,0,0,11,4,33.3,0,2022
528,5,Darrynton Evans,64,14,0,1,0,21,3,21.4,0,2022
529,6,Desmond Ridder,64,16,0,0,0,18,4,25.0,2,2022
530,7,Trace McSorley,61,15,0,0,0,14,3,20.0,1,2022
531,8,Keaontay Ingram,60,27,1,0,0,13,4,14.8,0,2022
532,9,Chase Claypool,59,9,0,0,0,15,3,33.3,0,2022
533,10,Parris Campbell,58,5,0,2,0,28,2,40.0,0,2022
534,11,Jordan Wilkins,58,13,0,0,0,9,2,15.4,0,2022
535,12,Anthony Schwartz,57,4,1,1,0,31,2,50.0,0,2022
536,13,Rashid Shaheed,57,4,1,1,1,44,2,50.0,0,2022
537,14,Corey Clement,55,15,1,0,0,12,6,40.0,0,2022
538,15,Isaiah McKenzie,55,9,1,0,0,18,3,33.3,0,2022
539,16,C.J. Moore,55,2,0,1,1,42,2,100.0,0,2022
540,17,Andy Dalton,54,30,0,0,0,14,6,20.0,1,2022
541,18,Trestan Ebner,54,24,0,0,0,11,2,8.3,0,2022
542,19,Equanimeous St. Brown,54,6,0,1,1,41,2,33.3,0,2022
543,20,Chris Streveler,54,9,0,0,0,14,1,11.1,1,2022
544,21,D.J. Moore,53,10,0,0,0,11,3,30.0,0,2022
545,22,Ke'Shawn Vaughn,53,17,0,0,0,12,3,17.6,0,2022
546,23,Kevin Harris,52,18,1,0,0,14,3,16.7,0,2022
547,24,Cooper Kupp,52,9,1,1,0,20,4,44.4,0,2022
548,0,Phillip Lindsay,49,15,0,0,0,15,1,6.7,0,2022
549,1,Treylon Burks,47,4,0,1,0,20,3,75.0,0,2022
550,2,CeeDee Lamb,47,10,0,0,0,14,3,30.0,0,2022
551,3,Julio Jones,45,5,0,0,0,15,4,80.0,0,2022
552,4,Joshua Dobbs,44,8,0,0,0,11,4,50.0,0,2022
553,5,Greg Dortch,44,7,0,1,0,20,3,42.9,0,2022
554,6,Spencer Brown,43,9,0,0,0,7,1,11.1,0,2022
555,7,Snoop Conner,42,12,1,0,0,8,2,16.7,0,2022
556,8,Isaiah Spiller,41,18,0,0,0,11,2,11.1,0,2022
557,9,Davis Webb,41,6,1,0,0,14,2,33.3,0,2022
558,10,Mack Hollins,40,4,0,0,0,17,2,50.0,0,2022
559,11,Jerry Jeudy,40,4,0,0,0,14,4,100.0,0,2022
560,12,Jameson Williams,40,1,0,1,1,40,1,100.0,0,2022
561,13,Kendrick Bourne,39,6,0,1,0,29,2,33.3,0,2022
562,14,Gunner Olszewski,39,8,0,0,0,18,3,37.5,0,2022
563,15,PJ Walker,39,6,0,1,0,20,3,50.0,0,2022
564,16,Mitchell Trubisky,38,19,2,0,0,9,7,36.8,0,2022
565,17,Dwayne Washington,38,11,0,0,0,8,2,18.2,0,2022
566,18,Dante Pettis,37,2,0,1,0,29,2,100.0,0,2022
567,19,Colt McCoy,36,14,0,0,0,9,5,35.7,2,2022
568,20,Kalif Raymond,36,7,0,0,0,12,4,57.1,0,2022
569,21,Sam Howell,35,5,1,0,0,10,4,80.0,0,2022
570,22,Tutu Atwell,34,9,1,0,0,11,2,22.2,0,2022
571,23,Jimmy Garoppolo,33,23,2,0,0,6,11,47.8,1,2022
572,24,Nyheim Hines,33,24,1,0,0,9,2,8.3,0,2022
573,0,Tyreek Hill,32,7,1,0,0,10,3,42.9,0,2022
574,1,John Wolford,32,8,0,0,0,14,2,25.0,1,2022
575,2,Mecole Hardman,31,4,2,1,0,25,3,75.0,0,2022
576,3,Patrick Taylor,31,10,0,0,0,6,2,20.0,0,2022
577,4,Anthony McFarland,30,6,0,0,0,14,3,50.0,0,2022
578,5,Michael Pittman,30,3,0,0,0,19,2,66.7,0,2022
579,6,Montrell Washington,30,5,0,0,0,19,0,0.0,0,2022
580,7,Trayveon Williams,30,6,0,0,0,16,1,16.7,0,2022
581,8,Terry McLaurin,29,7,0,0,0,12,2,28.6,1,2022
582,9,Giovani Bernard,28,8,0,0,0,8,0,0.0,1,2022
583,10,Teddy Bridgewater,27,3,0,0,0,11,2,66.7,0,2022
584,11,Connor Heyward,27,2,0,1,0,21,2,100.0,0,2022
585,12,Tevin Coleman,26,12,1,0,0,14,2,16.7,0,2022
586,13,Myles Gaskin,26,10,0,0,0,10,2,20.0,0,2022
587,14,Kyle Juszczyk,26,7,1,0,0,9,5,71.4,0,2022
588,15,Armani Rogers,26,2,0,1,0,24,1,50.0,0,2022
589,16,Deven Thompkins,26,2,0,0,0,17,1,50.0,0,2022
590,17,DJ Turner,26,4,0,0,0,18,1,25.0,0,2022
591,18,Jaylen Waddle,26,3,0,0,0,9,0,0.0,0,2022
592,19,Diontae Johnson,25,7,0,0,0,8,1,14.3,0,2022
593,20,Jalen Reagor,25,4,0,0,0,17,1,25.0,0,2022
594,21,Jonathan Ward,25,5,0,0,0,12,2,40.0,0,2022
595,22,Justin Jefferson,24,4,1,0,0,10,2,50.0,0,2022
596,23,David Johnson,24,12,0,0,0,5,0,0.0,1,2022
597,24,Tony Jones,24,10,0,0,0,7,3,30.0,0,2022
598,0,Skyy Moore,24,3,0,0,0,12,1,33.3,0,2022
599,1,George Pickens,24,3,1,1,0,22,2,66.7,0,2022
600,2,Brandon Aiyuk,23,2,0,0,0,16,1,50.0,0,2022
601,3,KJ Hamler,23,2,0,0,0,14,1,50.0,0,2022
602,4,Ronnie Rivers,21,9,0,0,0,5,1,11.1,0,2022
603,5,Skylar Thompson,21,14,0,0,0,9,1,7.1,1,2022
604,6,Derek Watt,21,9,1,0,0,4,8,88.9,0,2022
605,7,Ameer Abdullah,20,4,0,0,0,7,2,50.0,0,2022
606,8,Ty Chandler,20,6,0,0,0,10,1,16.7,0,2022
607,9,Larry Rountree III,19,13,0,0,0,5,0,0.0,0,2022
608,10,Trey Sermon,19,2,0,0,0,14,2,100.0,0,2022
609,11,Mike Davis,18,8,0,0,0,10,1,12.5,1,2022
610,12,Zay Jones,18,4,0,0,0,14,1,25.0,0,2022
611,13,D'Ernest Johnson,17,4,0,0,0,7,1,25.0,0,2022
612,14,Ben Skowronek,17,1,1,0,0,17,1,100.0,0,2022
613,15,KaVontae Turpin,17,3,0,0,0,11,1,33.3,0,2022
614,16,Patrick Ricard,16,7,0,0,0,5,5,71.4,0,2022
615,17,Tyquan Thornton,16,3,1,0,0,19,1,33.3,0,2022
616,18,Jameis Winston,16,5,0,0,0,6,0,0.0,2,2022
617,19,Dyami Brown,15,1,0,0,0,15,1,100.0,0,2022
618,20,Pharoh Cooper,15,4,0,0,0,6,0,0.0,0,2022
619,21,Trent Taylor,15,4,0,0,0,9,0,0.0,0,2022
620,22,Kene Nwangwu,14,9,0,0,0,8,1,11.1,0,2022
621,23,Kyle Allen,13,6,0,0,0,5,2,33.3,2,2022
622,24,Evan Engram,13,2,0,0,0,13,1,50.0,0,2022
623,0,Kendall Hinton,13,2,0,0,0,13,1,50.0,0,2022
624,1,Brock Purdy,13,22,1,0,0,13,5,22.7,0,2022
625,2,Julius Chestnut,12,9,0,0,0,5,1,11.1,0,2022
626,3,Jerome Ford,12,8,0,0,0,9,1,12.5,0,2022
627,4,Romeo Doubs,11,1,0,0,0,11,1,100.0,0,2022
628,5,Trenton Irwin,11,1,0,0,0,11,1,100.0,0,2022
629,6,Christian Kirk,11,5,0,0,0,5,0,0.0,0,2022
630,7,D'Wayne Eskridge,10,2,0,0,0,6,0,0.0,0,2022
631,8,Danny Gray,9,1,0,0,0,9,0,0.0,0,2022
632,9,Cole Kmet,9,2,0,0,0,8,1,50.0,0,2022
633,10,Adam Prentice,9,4,0,0,0,3,3,75.0,0,2022
634,11,Matthew Stafford,9,13,1,0,0,4,3,23.1,1,2022
635,12,J.J. Taylor,9,10,0,0,0,5,0,0.0,0,2022
636,13,Mike White,9,6,1,0,0,4,3,50.0,0,2022
637,14,Keenan Allen,8,1,0,0,0,8,1,100.0,0,2022
638,15,Mark Andrews,8,3,0,0,0,4,3,100.0,0,2022
639,16,Reggie Bonnafon,8,3,0,0,0,5,0,0.0,0,2022
640,17,Harrison Bryant,8,1,0,0,0,8,1,100.0,0,2022
641,18,Ja'Marr Chase,8,5,0,0,0,6,0,0.0,0,2022
642,19,Ashton Dulin,8,2,0,0,0,5,1,50.0,0,2022
643,20,Nick Foles,8,2,0,0,0,8,0,0.0,0,2022
644,21,Zander Horvath,8,4,0,0,0,3,2,50.0,0,2022
645,22,Alec Ingold,8,6,1,0,0,2,5,83.3,0,2022
646,23,Scott Miller,8,1,0,0,0,8,0,0.0,0,2022
647,24,Nick Mullens,8,4,0,0,0,4,1,25.0,0,2022
648,0,Trevor Siemian,8,4,0,0,0,6,1,25.0,0,2022
649,1,Ced Wilson,8,1,0,0,0,8,0,0.0,0,2022
650,2,Michael Burton,7,5,0,0,0,6,2,40.0,0,2022
651,3,Brandin Cooks,7,2,0,0,0,5,0,0.0,0,2022
652,4,C.J. Ham,7,4,2,0,0,3,3,75.0,0,2022
653,5,Kylin Hill,7,1,0,0,0,7,1,100.0,0,2022
654,6,Nathan Peterman,7,2,0,0,0,6,0,0.0,0,2022
655,7,Amari Rodgers,7,2,0,0,0,4,0,0.0,0,2022
656,8,Brett Rypien,7,6,0,0,0,6,2,33.3,2,2022
657,9,Olamide Zaccheaus,7,2,0,0,0,13,1,50.0,0,2022
658,10,Joe Flacco,6,3,0,0,0,7,1,33.3,0,2022
659,11,Richie James,6,2,0,0,0,4,0,0.0,0,2022
660,12,K.J. Osborn,6,3,0,0,0,5,2,66.7,0,2022
661,13,Cooper Rush,6,9,0,0,0,6,1,11.1,0,2022
662,14,David Blough,5,4,0,0,0,4,0,0.0,0,2022
663,15,Chris Godwin,5,3,0,0,0,2,0,0.0,0,2022
664,16,Marquise Goodwin,5,2,0,0,0,7,0,0.0,0,2022
665,17,Travis Kelce,5,2,0,0,0,4,1,50.0,0,2022
666,18,Elijah Moore,5,5,0,0,0,10,2,40.0,0,2022
667,19,Jonnu Smith,5,1,0,0,0,5,1,100.0,1,2022
668,20,Courtland Sutton,5,1,0,0,0,5,0,0.0,0,2022
669,21,Marcus Allen,4,1,0,0,0,4,1,100.0,0,2022
670,22,Jason Cabinda,4,1,0,0,0,4,1,100.0,0,2022
671,23,Chase Daniel,4,1,0,0,0,4,0,0.0,0,2022
672,24,Godwin Igwebuike,4,3,0,0,0,4,0,0.0,0,2022
673,0,Duke Johnson,4,2,0,0,0,4,1,50.0,0,2022
674,1,Racey McMath,4,1,0,0,0,4,0,0.0,0,2022
675,2,Devine Ozigbo,4,3,0,0,0,4,0,0.0,0,2022
676,3,Josh Palmer,4,1,0,0,0,4,1,100.0,0,2022
677,4,Adam Thielen,4,1,0,0,0,4,0,0.0,0,2022
678,5,Garrett Wilson,4,4,0,0,0,7,0,0.0,1,2022
679,6,Nick Bellore,3,1,0,0,0,3,0,0.0,0,2022
680,7,Tyler Conklin,3,2,0,0,0,2,2,100.0,0,2022
681,8,Josh Johnson,3,2,0,0,0,4,0,0.0,0,2022
682,9,Gardner Minshew,3,7,1,0,0,3,1,14.3,1,2022
683,10,Chris Moore,3,3,0,0,0,3,0,0.0,0,2022
684,11,M.J. Stewart,3,1,0,0,0,3,1,100.0,0,2022
685,12,Daniel Bellinger,2,1,1,0,0,2,1,100.0,0,2022
686,13,Sean Chandler,2,1,0,0,0,2,1,100.0,0,2022
687,14,Jaelon Darden,2,1,0,0,0,2,0,0.0,0,2022
688,15,Ashtyn Davis,2,1,0,0,0,2,1,100.0,0,2022
689,16,Peyton Hendershot,2,1,1,0,0,2,1,100.0,0,2022
690,17,Darnell Mooney,2,1,0,0,0,2,0,0.0,0,2022
691,18,Foster Moreau,2,0,0,0,0,2,0,0.0,1,2022
692,19,Chigoziem Okonkwo,2,3,0,0,0,6,0,0.0,0,2022
693,20,Donovan Peoples-Jones,2,1,0,0,0,2,0,0.0,0,2022
694,21,Keith Smith,2,1,0,0,0,2,1,100.0,0,2022
695,22,Damien Williams,2,2,0,0,0,2,0,0.0,0,2022
696,23,Marquise Brown,1,1,0,0,0,1,0,0.0,0,2022
697,24,Noah Gray,1,1,1,0,0,1,1,100.0,0,2022
698,0,Jordan Howard,1,1,0,0,0,1,0,0.0,0,2022
699,1,Andy Isabella,1,1,0,0,0,1,0,0.0,0,2022
700,2,Durham Smythe,1,2,1,0,0,1,1,50.0,0,2022
701,3,Quez Watkins,1,3,0,0,0,4,0,0.0,0,2022
702,4,Bryan Anger,0,1,0,0,0,0,0,0.0,1,2022
703,5,Tyler Badie,0,1,0,0,0,0,0,0.0,0,2022
704,6,Andrew Beck,0,2,0,0,0,1,0,0.0,0,2022
705,7,Gerald Everett,0,1,0,0,0,0,0,0.0,0,2022
706,8,Clayton Fejedelem,0,1,0,0,0,0,0,0.0,0,2022
707,9,Feleipe Franks,0,1,0,0,0,0,0,0.0,0,2022
708,10,Kylen Granson,0,1,0,0,0,0,0,0.0,0,2022
709,11,Case Keenum,0,5,0,0,0,4,0,0.0,0,2022
710,12,Allen Lazard,0,2,0,0,0,1,0,0.0,0,2022
711,13,Dallin Leavitt,0,1,0,0,0,0,0,0.0,0,2022
712,14,Zach Pascal,0,1,0,0,0,0,0,0.0,0,2022
713,15,Tommy Townsend,0,0,0,0,0,0,0,0.0,0,2022
714,16,Bailey Zappe,0,10,0,0,0,5,0,0.0,2,2022
715,17,,0,0,0,0,0,0,1,0.0,0,2022
716,18,,0,0,0,0,0,0,2,0.0,0,2022
717,19,,0,0,0,0,0,0,1,0.0,0,2022
718,20,,0,0,0,0,0,0,0,0.0,0,2022
719,21,,0,0,0,0,0,0,1,0.0,0,2022
720,22,,0,0,0,0,0,0,0,0.0,0,2022
721,23,Davante Adams,-1,3,0,0,0,4,0,0.0,0,2022
722,24,Brandon Allen,-1,3,0,0,0,2,1,33.3,0,2022
723,0,Tom Brady,-1,29,1,0,0,2,5,17.2,2,2022
724,1,Jordan Love,-1,1,0,0,0,-1,0,0.0,0,2022
725,2,Wan'Dale Robinson,-1,2,0,0,0,4,0,0.0,0,2022
726,3,Ihmir Smith-Marsette,-1,1,0,0,0,-1,0,0.0,0,2022
727,4,Tim Boyle,-2,2,0,0,0,-1,0,0.0,0,2022
728,5,Ty Montgomery,-2,2,0,0,0,0,0,0.0,0,2022
729,6,Stefon Diggs,-3,1,0,0,0,-3,0,0.0,0,2022
730,7,Matthias Farley,-3,1,0,0,0,-3,0,0.0,0,2022
731,8,Jamie Gillan,-3,2,0,0,0,0,0,0.0,1,2022
732,9,Marquez Valdes-Scantling,-3,1,0,0,0,-3,0,0.0,0,2022
733,10,C.J. Beathard,-4,4,0,0,0,-1,0,0.0,0,2022
734,11,Demetric Felton,-4,1,0,0,0,-4,0,0.0,0,2022
735,12,Nate Sudfeld,-4,5,0,0,0,0,0,0.0,0,2022
736,13,Anthony Brown,-5,3,0,0,0,-1,0,0.0,0,2022
737,14,Chad Henne,-5,5,0,0,0,0,0,0.0,1,2022
738,15,Rondale Moore,-5,6,0,0,0,9,1,16.7,0,2022
739,16,Mike Woods,-5,1,0,0,0,-5,0,0.0,0,2022
740,17,Jahan Dotson,-7,2,0,0,0,3,0,0.0,0,2022
741,18,Breshad Perriman,-7,2,0,0,0,0,0,0.0,1,2022
742,19,David Njoku,-8,2,0,0,0,-2,0,0.0,0,2022
743,20,Jakobi Meyers,-11,2,0,0,0,7,2,100.0,1,2022
744,21,DeAndre Carter,-15,2,0,0,0,-5,0,0.0,0,2022
745,22,Michael Dickson,-18,2,0,0,0,-8,0,0.0,1,2022
