,concat_index,Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,season_year
233,8,Albert Wilson,17,4,0,0,0,14,1,25.0,0,2021
234,9,John Ross,16,1,0,0,0,16,1,100.0,0,2021
235,10,Henry Ruggs III,16,3,0,0,0,7,0,0.0,0,2021
236,11,Dwayne Washington,16,4,0,0,0,5,0,0.0,0,2021
237,12,Cameron Batson,15,2,0,0,0,11,1,50.0,0,2021
238,13,Ray-Ray McCloud,15,2,0,0,0,10,0,0.0,0,2021
239,14,Odell Beckham Jr.,14,2,0,0,0,10,1,50.0,0,2021
240,15,Sean Chandler,14,1,0,0,0,14,1,100.0,0,2021
241,16,Cyril Grayson,14,1,0,0,0,14,1,100.0,0,2021
242,17,Justin Jefferson,14,6,0,0,0,11,1,16.7,0,2021
243,18,Sean Mannion,14,2,0,0,0,11,2,100.0,0,2021
244,19,Equanimeous St. Brown,14,3,0,0,0,13,2,66.7,0,2021
245,20,Tim Boyle,13,2,0,0,0,14,1,50.0,0,2021
246,21,John Kelly,13,2,0,0,0,11,1,50.0,0,2021
247,22,Scottie Phillips,13,6,0,0,0,4,1,16.7,0,2021
248,23,PJ Walker,13,7,0,0,0,13,2,28.6,2,2021
249,24,James Washington,13,2,0,0,0,12,1,50.0,0,2021
250,0,Terry McLaurin,12,1,0,0,0,12,1,100.0,0,2021
251,1,Jacques Patrick,12,2,0,0,0,8,1,50.0,0,2021
252,2,Nelson Agholor,11,3,0,0,0,6,0,0.0,0,2021
253,3,Kyle Allen,11,2,0,0,0,11,1,50.0,0,2021
254,4,Jaelon Darden,11,1,0,0,0,11,1,100.0,0,2021
255,5,Buddy Howell,11,5,0,0,0,4,0,0.0,0,2021
256,6,Christian Kirk,11,1,0,0,0,11,1,100.0,0,2021
257,7,Amari Rodgers,11,1,0,0,0,11,1,100.0,0,2021
258,8,Curtis Samuel,11,4,0,0,0,8,0,0.0,0,2021
259,9,Mekhi Sargent,11,5,0,0,0,3,1,20.0,0,2021
260,10,Tommy Tremble,11,3,1,0,0,7,1,33.3,0,2021
261,11,Ced Wilson,11,2,0,0,0,6,1,50.0,0,2021
262,12,Blake Bell,10,4,0,0,0,3,4,100.0,0,2021
263,13,A.J. Brown,10,2,0,0,0,7,1,50.0,0,2021
264,14,Mike Evans,10,1,0,0,0,10,1,100.0,0,2021
265,15,K.J. Osborn,10,1,0,0,0,10,1,100.0,0,2021
266,16,Sam Ehlinger,9,3,0,0,0,9,1,33.3,0,2021
267,17,Tyler Lockett,9,2,0,0,0,7,0,0.0,0,2021
268,18,Jakobi Meyers,9,1,0,0,0,9,0,0.0,0,2021
269,19,Gunner Olszewski,9,1,0,0,0,9,0,0.0,0,2021
270,20,Trey Ragas,9,1,0,0,0,9,1,100.0,0,2021
271,21,Chester Rogers,9,1,0,0,0,9,0,0.0,0,2021
272,22,Jaylen Samuels,9,5,0,0,0,3,0,0.0,0,2021
273,23,JuJu Smith-Schuster,9,3,1,0,0,3,1,33.3,0,2021
274,24,Nick Foles,8,4,0,0,0,8,1,25.0,0,2021
275,0,Gabe Nabers,8,3,0,0,0,4,1,33.3,0,2021
276,1,Damarea Crockett,7,3,0,0,0,6,0,0.0,0,2021
