,concat_index,Player,INT,INT TD,INT Yds,Lng,season_year
333,14,Taylor Rapp,2,0,18,18,2022
334,15,Amik Robertson,2,0,7,7,2022
335,16,Asante Samuel Jr.,2,0,11,11,2022
336,17,Josiah Scott,2,0,13,13,2022
337,18,Nick Scott,2,0,0,0,2022
338,19,Isaiah Simmons,2,1,61,56,2022
339,20,Tremon Smith,2,0,33,26,2022
340,21,Daniel Sorensen,2,0,50,36,2022
341,22,Caden Sterns,2,0,25,23,2022
342,23,Pat Surtain II,2,0,-3,0,2022
343,24,Bobby Wagner,2,0,13,13,2022
344,0,Mykal Walker,2,0,33,21,2022
345,1,T.J. Watt,2,0,0,0,2022
346,2,Jordan Whitehead,2,0,5,5,2022
347,3,Andrew Adams,1,1,76,76,2022
348,4,Jonathan Allen,1,0,1,1,2022
349,5,Adrian Amos,1,0,26,26,2022
350,6,Alex Anzalone,1,0,4,4,2022
351,7,Boogie Basham,1,0,21,21,2022
352,8,Christian Benford,1,0,35,35,2022
353,9,Ja'Whaun Bentley,1,0,7,7,2022
354,10,Justin Bethel,1,0,11,11,2022
355,11,Julian Blackmon,1,1,17,17,2022
356,12,Reed Blankenship,1,0,4,4,2022
357,13,Jaquan Brisker,1,0,6,6,2022
358,14,Derrick Brown,1,0,0,0,2022
359,15,Baron Browning,1,0,-6,-6,2022
360,16,Myles Bryant,1,0,11,11,2022
361,17,Josh Bynes,1,0,0,0,2022
362,18,Lorenzo Carter,1,1,28,28,2022
363,19,Landon Collins,1,1,52,52,2022
364,20,Zaven Collins,1,1,30,30,2022
365,21,Ashtyn Davis,1,0,14,14,2022
366,22,Carlton Davis,1,0,0,0,2022
367,23,Demario Davis,1,0,4,4,2022
368,24,Michael Davis,1,0,30,30,2022
369,0,Tremaine Edmunds,1,0,4,4,2022
370,1,DeShon Elliott,1,0,0,0,2022
371,2,Tony Fields II,1,1,16,16,2022
372,3,Tre Flowers,1,0,0,0,2022
373,4,Dee Alford,1,0,0,0,2022
374,5,Kristian Fulton,1,0,0,0,2022
375,6,Dennis Gardeck,1,0,24,24,2022
376,7,Willie Gay Jr.,1,1,47,47,2022
377,8,Jack Gibbens,1,0,7,7,2022
378,9,Alohi Gilman,1,0,18,18,2022
379,10,A.J. Green,1,0,0,0,2022
380,11,Jonathan Greenard,1,1,39,39,2022
381,12,Dre Greenlaw,1,0,0,0,2022
382,13,Jonas Griffith,1,0,1,1,2022
383,14,Antonio Hamilton,1,0,0,0,2022
384,15,Will Harris,1,0,0,0,2022
385,16,Christian Harris,1,0,20,20,2022
386,17,Casey Hayward,1,0,0,0,2022
387,18,Jordan Hicks,1,0,19,19,2022
388,19,Troy Hill,1,0,5,5,2022
389,20,Mike Hilton,1,0,5,5,2022
390,21,Amani Hooker,1,0,0,0,2022
391,22,Justin Houston,1,0,5,5,2022
392,23,DeAndre Houston-Carson,1,0,18,18,2022
393,24,Xavien Howard,1,0,0,0,2022
394,0,Jerry Hughes,1,0,14,14,2022
395,1,Noah Igbinoghene,1,0,0,0,2022
396,2,Mike Jackson,1,0,22,22,2022
397,3,Drake Jackson,1,0,0,0,2022
398,4,Jerry Jacobs,1,0,38,38,2022
399,5,Jaquan Johnson,1,0,0,0,2022
400,6,Danny Johnson,1,0,0,0,2022
401,7,John Johnson,1,0,0,0,2022
